Cuisines,avg_rating,avg_votes,avg_price,count,cluster
Continental,3.5593441327538526,425.24219676017384,2.765310154089293,2531,2
Cuban,4.1,786.0,2.4,5,3
Cuisine Varies,0.0,2.0,2.0,1,1
Curry,4.4,381.3888888888889,2.5,18,2
Deli,3.9866666666666664,262.73333333333335,3.1333333333333333,15,0
Desserts,3.133798720186155,195.62943571844096,1.6375799883653286,1719,1
Di_ner,4.4,72.0,2.0,3,2
Dim Sum,4.325,447.25,4.0,8,0
Diner,3.8823529411764706,251.76470588235293,1.2941176470588236,17,2
Drinks Only,1.75,22.5,4.0,2,0
Durban,4.3,43.0,4.0,5,0
European,3.954449152542373,723.9449152542373,3.3389830508474576,472,3
Fast Food,2.6941471571906352,111.38524247491638,1.5495401337792643,4784,1
Filipino,4.127586206896551,307.62068965517244,3.5172413793103448,29,0
Finger Food,3.547118644067797,460.0813559322034,3.2508474576271187,295,0
Fish and Chips,4.3,96.0,2.0,2,2
French,3.8230769230769233,258.0769230769231,3.4923076923076923,65,0
Fusion,3.5833333333333335,62.05555555555556,3.2222222222222223,18,0
German,3.9520000000000004,584.08,2.96,25,3
Goan,4.026760563380281,595.9859154929577,3.408450704225352,71,3
Gourmet Fast Food,4.3,68.0,4.0,2,0
Greek,3.706666666666667,411.5777777777778,2.2666666666666666,45,2
Grill,4.085333333333333,235.02666666666667,3.48,75,0
Gujarati,3.386666666666667,396.6,2.1666666666666665,30,2
Hawaiian,4.375,984.8,2.6,20,3
Healthy Food,3.129494949494949,109.68888888888888,1.9292929292929293,495,1
Hyderabadi,3.6328125,247.375,2.296875,64,2
Ice Cream,2.722737819025522,76.8538283062645,1.1995359628770301,431,1
Indian,3.8595238095238096,295.6607142857143,2.7142857142857144,168,2
Indonesian,4.218518518518518,590.1296296296297,3.1666666666666665,54,3
International,4.266101694915254,374.3220338983051,3.2203389830508473,59,0
Iranian,4.066666666666666,1791.3333333333333,3.0,6,3
Irish,4.3,782.0,4.0,1,3
Italian,3.604197724597882,471.2322479403688,2.6794821498626913,2549,2
Izgara,4.35,583.0,3.0,4,3
Japanese,3.802409638554217,273.84578313253013,3.113253012048193,415,0
Juices,3.4285714285714284,95.17857142857143,1.8095238095238095,84,2
Kashmiri,3.2270833333333333,231.77083333333334,2.8541666666666665,48,0
Kebab,4.357142857142857,146.28571428571428,2.761904761904762,21,0
Kerala,3.7435483870967743,292.2096774193548,2.2903225806451615,62,2
Kiwi,4.257142857142857,219.71428571428572,3.5714285714285716,14,0
Korean,3.5629032258064517,161.11290322580646,3.129032258064516,62,0
Latin American,4.08,544.4,2.2,25,2
Lebanese,3.4939759036144578,412.62248995983936,2.5060240963855422,249,2
Lucknowi,2.442857142857143,144.57142857142858,2.2857142857142856,28,1
Maharashtrian,3.710526315789474,276.7368421052632,2.0526315789473686,19,2
Malay,3.0,25.0,3.0,5,0
Malaysian,3.7155339805825243,207.62135922330097,3.3398058252427183,103,0
Malwani,3.5,77.0,2.0,4,2
Mangalorean,3.707692307692308,256.6923076923077,3.1538461538461537,13,0
Mediterranean,3.9646766169154226,726.3059701492538,3.0497512437810945,402,3
Mexican,3.7597662771285476,480.91819699499166,2.5843071786310516,599,2
Middle Eastern,3.7614285714285716,377.51428571428573,2.8714285714285714,70,0
Mineira,0.0,2.0,3.0,2,1
Mithai,2.3862652869238006,88.71495766698024,1.3066792097836313,1063,1
Modern Australian,3.608333333333333,150.95833333333334,2.1666666666666665,24,2
Modern Indian,4.2153846153846155,671.4615384615385,3.230769230769231,26,3
Moroccan,1.75,112.83333333333333,2.3333333333333335,18,1
Mughlai,2.7173770491803277,170.1282786885246,2.0901639344262297,2440,1
Naga,3.4352941176470586,168.88235294117646,2.0588235294117645,17,2
Nepalese,1.65,114.7,2.05,20,1
New American,4.266666666666667,910.0,3.0,3,3
North Eastern,2.255,92.35,2.35,20,1
North Indian,2.7577469233196594,196.6217523929736,2.0352371936467866,9507,1
Oriya,3.25,154.0,1.5,2,1
Pakistani,3.566666666666667,242.33333333333334,2.8181818181818183,33,0
Parsi,4.166666666666667,697.7777777777778,2.7777777777777777,18,3
Patisserie,4.109090909090909,376.0,2.6363636363636362,11,2
Peranakan,4.0,1159.0,3.0,2,3
Persian,3.0666666666666664,118.33333333333333,2.6666666666666665,6,1
Peruvian,3.6,5.0,4.0,2,0
Pizza,3.061155152887882,224.0339750849377,2.157417893544734,883,1
Portuguese,3.425,570.3125,2.9375,16,0
Pub Food,3.6125,325.0,3.875,8,0
Rajasthani,3.3232142857142857,434.57142857142856,2.3392857142857144,56,2
Ramen,4.4799999999999995,671.8,3.0,5,3
Raw Meats,2.282006920415225,19.785467128027683,1.0484429065743945,289,1
Restaurant Cafe,4.1000000000000005,826.5714285714286,3.142857142857143,7,3
Salad,3.1351123595505617,116.05898876404494,1.9550561797752808,356,1
Sandwich,4.052631578947368,446.8618421052632,1.875,152,2
Scottish,4.2875,139.75,3.75,8,0
Seafood,3.861678832116788,430.1551094890511,3.0948905109489053,548,0
Singaporean,3.15,29.714285714285715,3.642857142857143,14,0
Soul Food,3.6,432.0,2.0,3,2
South African,4.3,217.125,3.59375,32,0
South American,3.5,72.5,4.0,2,0
South Indian,2.6024697845507094,145.13504992117709,1.606936416184971,1903,1
Southern,4.150877192982456,594.421052631579,2.0350877192982457,57,2
Southwestern,4.185714285714286,892.0,2.2857142857142856,21,3
Spanish,4.089830508474576,735.7118644067797,3.0338983050847457,59,3
